
Project: 160322-K1-2 (1)
Owner: 
Site: Site of Interest 1

Sample: Sample 1
Type: Default
ID: 

Processing option : All elements analysed (Normalised)

All results in atomic%

X and Y are stage positions

Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ti	Ta	
Spectrum 1 {243}	Yes	5.680	8.519	2.46	14.06	50.41	33.08	
Spectrum 1 {244}	Yes	10.180	8.519	2.95	15.05	55.38	26.62	
Spectrum 1 {245}	Yes	14.682	8.519	2.20	17.71	60.06	20.03	
Spectrum 1 {246}	Yes	19.181	8.519	4.02	22.30	62.22	11.46	
Spectrum 1 {247}	Yes	23.680	8.519	2.73	29.50	64.80	2.98	
Spectrum 1 {248}	Yes	28.180	8.519	3.27	31.70	64.68	0.35	
Spectrum 1 {249}	Yes	32.680	8.519	2.83	30.23	66.74	0.21	
Spectrum 1 {250}	Yes	37.181	8.519	2.75	29.76	67.31	0.17	
Spectrum 1 {251}	Yes	41.680	8.519	2.97	29.43	67.43	0.17	
Spectrum 1 {252}	Yes	46.179	8.519	1.63	30.50	67.69	0.17	
Spectrum 1 {253}	Yes	-43.811	13.025	0.78	10.31	2.61	86.30	
Spectrum 1 {254}	Yes	-39.308	13.025	2.41	10.26	5.90	81.43	
Spectrum 1 {255}	Yes	-34.809	13.025	2.12	12.38	10.14	75.36	
Spectrum 1 {284}	Yes	1.181	17.525	3.61	15.46	53.62	27.30	
Spectrum 1 {285}	Yes	5.681	17.525	3.54	17.27	58.27	20.92	
Spectrum 1 {286}	Yes	10.179	17.525	3.50	21.00	62.38	13.12	
Spectrum 1 {287}	Yes	14.680	17.525	1.77	28.74	65.67	3.82	
Spectrum 1 {288}	Yes	19.180	17.525	3.61	31.06	64.93	0.40	
Spectrum 1 {289}	Yes	23.681	17.525	2.31	30.21	67.40	0.07	
Spectrum 1 {290}	Yes	28.180	17.525	0.84	29.86	69.16	0.14	
Spectrum 1 {291}	Yes	32.681	17.525	3.56	28.28	68.05	0.11	
Spectrum 1 {292}	Yes	37.182	17.525	2.92	28.75	68.33	-0.01	
Spectrum 1 {293}	Yes	41.682	17.525	1.82	30.24	67.85	0.09	
Spectrum 1 {294}	Yes	46.182	17.525	44.42	48.65	4.30	2.63	
Spectrum 1 {295}	Yes	-43.812	22.027	2.34	13.20	10.58	73.88	
Spectrum 1 {296}	Yes	-39.310	22.027	2.37	10.19	15.71	71.73	
Spectrum 1 {297}	Yes	-34.809	22.027	2.08	12.30	19.53	66.08	
Spectrum 1 {298}	Yes	-30.307	22.027	2.20	12.37	23.42	62.02	
Spectrum 1 {299}	Yes	-25.809	22.027	2.25	12.43	28.50	56.82	
Spectrum 1 {300}	Yes	-21.309	22.027	2.38	11.70	34.03	51.89	
Spectrum 1 {301}	Yes	-16.808	22.027	1.49	13.99	38.56	45.96	
Spectrum 1 {302}	Yes	-12.310	22.027	2.59	13.72	43.45	40.24	
Spectrum 1 {303}	Yes	-7.808	22.027	2.13	14.08	49.12	34.66	
Spectrum 1 {304}	Yes	-3.308	22.027	3.48	15.49	53.25	27.78	
Spectrum 1 {305}	Yes	1.182	22.027	3.39	17.11	58.27	21.23	
Spectrum 1 {306}	Yes	5.681	22.027	3.13	21.27	61.92	13.68	
Spectrum 1 {307}	Yes	10.182	22.027	2.62	28.50	64.79	4.10	
Spectrum 1 {308}	Yes	14.681	22.027	3.47	31.23	64.79	0.51	
Spectrum 1 {309}	Yes	19.182	22.027	1.67	30.26	67.82	0.25	
Spectrum 1 {310}	Yes	23.680	22.027	2.54	29.17	68.07	0.21	
Spectrum 1 {311}	Yes	28.181	22.027	2.16	28.84	68.89	0.11	
Spectrum 1 {312}	Yes	32.679	22.027	3.46	28.07	68.48	-0.01	
Spectrum 1 {313}	Yes	37.180	22.027	3.29	29.23	67.49	-0.02	
Spectrum 1 {314}	Yes	41.681	22.027	2.52	31.93	65.40	0.15	
Spectrum 1 {315}	Yes	46.179	22.027	40.19	58.79	2.83	-1.80	
Spectrum 1 {316}	Yes	-43.810	26.524	32.46	65.95	2.27	-0.69	
Spectrum 1 {317}	Yes	-39.309	26.524	1.83	13.74	19.92	64.51	
Spectrum 1 {318}	Yes	-34.808	26.524	2.99	13.18	23.63	60.20	
Spectrum 1 {319}	Yes	-30.307	26.524	1.83	12.45	28.69	57.04	
Spectrum 1 {320}	Yes	-25.806	26.524	2.43	13.68	32.44	51.45	
Spectrum 1 {321}	Yes	-21.309	26.524	4.05	13.19	37.29	45.47	
Spectrum 1 {322}	Yes	-16.809	26.524	3.62	13.27	42.49	40.63	
Spectrum 1 {323}	Yes	-12.309	26.524	3.04	14.61	47.90	34.44	
Spectrum 1 {324}	Yes	-7.809	26.524	3.95	15.39	52.51	28.15	
Spectrum 1 {325}	Yes	-3.307	26.524	2.51	17.54	58.10	21.85	
Spectrum 1 {326}	Yes	1.179	26.524	3.20	21.34	61.21	14.25	
Spectrum 1 {327}	Yes	5.681	26.524	2.81	28.98	63.60	4.60	
Spectrum 1 {328}	Yes	10.182	26.524	2.01	32.14	65.33	0.52	
